"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 17:04:28 EEST 2022","Sun Sep 18 17:04:32 EEST 2022","3506","firefox","task1.spec.ts","","","","Should check ""Download"" function",""
"passed","Sun Sep 18 17:04:33 EEST 2022","Sun Sep 18 17:04:36 EEST 2022","2767","webkit","task1.spec.ts","","","","Open Redmine main page, homepage has Redmine in title and get started link linking to the intro page",""
"passed","Sun Sep 18 17:04:36 EEST 2022","Sun Sep 18 17:04:39 EEST 2022","2985","webkit","task1.spec.ts","","","","Should Registry in to Redmine with not valid credentials",""
"passed","Sun Sep 18 17:04:38 EEST 2022","Sun Sep 18 17:04:44 EEST 2022","5821","webkit","task1.spec.ts","","","","Should Registry in to Redmine",""
"passed","Sun Sep 18 17:04:24 EEST 2022","Sun Sep 18 17:04:28 EEST 2022","4214","chromium","task1.spec.ts","","","","Should Registry in to Redmine with not valid credentials",""
"passed","Sun Sep 18 17:04:32 EEST 2022","Sun Sep 18 17:04:35 EEST 2022","3642","firefox","task1.spec.ts","","","","Should Registry in to Redmine with not valid credentials",""
"passed","Sun Sep 18 17:04:29 EEST 2022","Sun Sep 18 17:04:32 EEST 2022","3812","firefox","task1.spec.ts","","","","Should check ""Search"" function",""
"passed","Sun Sep 18 17:04:33 EEST 2022","Sun Sep 18 17:04:38 EEST 2022","4257","webkit","task1.spec.ts","","","","Should check ""Download"" function",""
"passed","Sun Sep 18 17:04:32 EEST 2022","Sun Sep 18 17:04:39 EEST 2022","7254","firefox","task1.spec.ts","","","","Should Registry in to Redmine",""
"passed","Sun Sep 18 17:04:24 EEST 2022","Sun Sep 18 17:04:27 EEST 2022","3807","chromium","task1.spec.ts","","","","Should check ""Search"" function",""
"passed","Sun Sep 18 17:04:27 EEST 2022","Sun Sep 18 17:04:33 EEST 2022","5549","chromium","task1.spec.ts","","","","Should Registry in to Redmine",""
"passed","Sun Sep 18 17:04:28 EEST 2022","Sun Sep 18 17:04:32 EEST 2022","3178","firefox","task1.spec.ts","","","","Open Redmine main page, homepage has Redmine in title and get started link linking to the intro page",""
"passed","Sun Sep 18 17:04:24 EEST 2022","Sun Sep 18 17:04:28 EEST 2022","3990","chromium","task1.spec.ts","","","","Should check ""Download"" function",""
"passed","Sun Sep 18 17:04:24 EEST 2022","Sun Sep 18 17:04:27 EEST 2022","3629","chromium","task1.spec.ts","","","","Open Redmine main page, homepage has Redmine in title and get started link linking to the intro page",""
"passed","Sun Sep 18 17:04:36 EEST 2022","Sun Sep 18 17:04:40 EEST 2022","3625","webkit","task1.spec.ts","","","","Should check ""Search"" function",""
